CODI_ACCES,ADRECA,EPIGRAF_IAE,EPIGRAF_DESC,LAT,LNG,WKT
"100700900054089707130","AV. d'Amxrica, 47","9331","ENSEN. CONDUCCION VEHICULOS","41.547436763106","2.44990614374709","POINT (2.44990614374709 41.547436763106)"
"100700900054083407130","AV. d'Amxrica, 45","6732","OTROS CAFES Y BARES","41.5474670108404","2.44965437936007","POINT (2.44965437936007 41.5474670108404)"
"100700900054083407130","AV. d'Amxrica, 45","6732","OTROS CAFES Y BARES","41.5474670108404","2.44965437936007","POINT (2.44965437936007 41.5474670108404)"
"100700900054571807130","RONDA d'Antoni Comas i Pujol , 1","6522","COM.MEN.PTOS.DROGUERIA,PERFUMERIA","41.5386367469318","2.43248519838637","POINT (2.43248519838637 41.5386367469318)"
"100700900054318607130","AV. d'Amxrica, 160","6424","COM.MEN.CARNICERIAS","41.5467686834835","2.45307935979402","POINT (2.45307935979402 41.5467686834835)"
"100700900054083407130","AV. d'Amxrica, 45","6732","OTROS CAFES Y BARES","41.5474670108404","2.44965437936007","POINT (2.44965437936007 41.5474670108404)"
"100700900054801907130","C. d'Argentona, 14","6599","COM.MEN.OTROS PTOS. NCOP","41.541150145197","2.44349125592764","POINT (2.44349125592764 41.541150145197)"
"100700900054803307130","C. d'Argentona, 16","9721","SERV. PELUQUERIA SENORAS Y CABALLEROS","41.5411428883957","2.44340298124985","POINT (2.44340298124985 41.5411428883957)"
"100700900054051907130","AV. d'Amxrica, 44","6472","COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2","41.5474410185847","2.44684554394539","POINT (2.44684554394539 41.5474410185847)"
"100700900054801907130","C. d'Argentona, 14","6599","COM.MEN.OTROS PTOS. NCOP","41.541150145197","2.44349125592764","POINT (2.44349125592764 41.541150145197)"
"100700900054799107130","C. d'Argentona, 12","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5411564442559","2.44354648589812","POINT (2.44354648589812 41.5411564442559)"
"100700900054793007130","C. d'Argentona, 9","411","REPRODUCTORAS DE PUESTA","41.5410172463597","2.44315691025019","POINT (2.44315691025019 41.5410172463597)"
"100700900054793907130","C. d'Argentona, 10","5056","PINTURA Y REVESTIMIENTO CON PAPEL,TEJIDO","41.5411629455875","2.44360880570285","POINT (2.44360880570285 41.5411629455875)"
"100700900054803307130","C. d'Argentona, 16","6596","COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...","41.5411428883957","2.44340298124985","POINT (2.44340298124985 41.5411428883957)"
"100700900054789707130","C. d'Argentona, 8","6594","COM.MEN.PERIODICOS,LIBROS,ART.PAPELERIA","41.5411690228055","2.44367038672691","POINT (2.44367038672691 41.5411690228055)"
"100700900054783307130","C. d'Argentona, 3","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5410568156187","2.44344190165516","POINT (2.44344190165516 41.5410568156187)"
"100700900054793007130","C. d'Argentona, 9","411","ARQUITECTOS","41.5410172463597","2.44315691025019","POINT (2.44315691025019 41.5410172463597)"
"100700900054783307130","C. d'Argentona, 3","731","ABOGADOS","41.5410568156187","2.44344190165516","POINT (2.44344190165516 41.5410568156187)"
"100700900054781807130","C. d'Argentona, 1","6516","COM.MEN.CALZADO Y COMPLEMENTOS PIEL","41.5410920720415","2.44370073173323","POINT (2.44370073173323 41.5410920720415)"
"100700900054781807130","C. d'Argentona, 1","4762","EDICION DE PERIODICOS Y REVISTAS","41.5410920720415","2.44370073173323","POINT (2.44370073173323 41.5410920720415)"
"100700900054045707130","AV. d'Amxrica, 43","9721","SERV. PELUQUERIA SENORAS Y CABALLEROS","41.5474978530948","2.44934512857797","POINT (2.44934512857797 41.5474978530948)"
"100700900054259307130","AV. d'Amxrica, 140","9722","SALONES E INSTITUTOS DE BELLEZA","41.5468967404232","2.45206036863202","POINT (2.45206036863202 41.5468967404232)"
"100700900054028007130","AV. d'Amxrica, 37","811","BANCA","41.5475941208428","2.44848900162672","POINT (2.44848900162672 41.5475941208428)"
"100700900054783307130","C. d'Argentona, 3","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5410568156187","2.44344190165516","POINT (2.44344190165516 41.5410568156187)"
"100700900054545707130","C. d'xngel Guimerx, 25","9721","SERV. PELUQUERIA SENORAS Y CABALLEROS","41.5433725420865","2.42594530613328","POINT (2.42594530613328 41.5433725420865)"
"100700900054259307130","AV. d'Amxrica, 140","6732","OTROS CAFES Y BARES","41.5468967404232","2.45206036863202","POINT (2.45206036863202 41.5468967404232)"
"100700900054259307130","AV. d'Amxrica, 140","6732","OTROS CAFES Y BARES","41.5468967404232","2.45206036863202","POINT (2.45206036863202 41.5468967404232)"
"100700900054020907130","AV. d'Amxrica, 36","4911","JOYERIA","41.5474528774984","2.44651268838401","POINT (2.44651268838401 41.5474528774984)"
"100700900054028007130","AV. d'Amxrica, 37","811","PROFESIONALES LIMPIEZA","41.5475941208428","2.44848900162672","POINT (2.44848900162672 41.5475941208428)"
"100700900054009007130","AV. d'Amxrica, 33","6593","COM.MEN.APARATOS MEDICOS, ORTOPEDICOS","41.5476462417858","2.44798985650509","POINT (2.44798985650509 41.5476462417858)"
"100700900054735807130","C. d'Antoni Puigblanch, 51","9211","SERV. LIMPIEZA VIARIA Y JARDINES","41.5423600260231","2.44987829306649","POINT (2.44987829306649 41.5423600260231)"
"100700900054236907130","AV. d'Amxrica, 134","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.5469310764138","2.45179927478789","POINT (2.45179927478789 41.5469310764138)"
"100700900054222207130","AV. d'Amxrica, 124","6443","COM.MEN.PTOS.PASTELERIA,BOLLERIA","41.5469977620599","2.45133131173199","POINT (2.45133131173199 41.5469977620599)"
"100700900054708807130","C. d'Antoni Puigblanch, 3","9731","SERVICIOS FOTOGRAFICOS","41.5417884338456","2.44843989226255","POINT (2.44843989226255 41.5417884338456)"
"100700900054199707130","AV. d'Amxrica, 113","6912","REPARACION AUTOMOVILES Y BICICLETAS","41.5469755410389","2.45335408328304","POINT (2.45335408328304 41.5469755410389)"
"100700900054721407130","C. d'Antoni Puigblanch, 31","8612","ALQUILER LOCALES INDUSTRIALES","41.5421249549799","2.44928511595558","POINT (2.44928511595558 41.5421249549799)"
"100700900054705007130","C. d'Antoni de Capmany, 65","6545","COM.MEN.DE TODA CLASE DE MAQUINARIA","41.5427832984734","2.45391226403721","POINT (2.45391226403721 41.5427832984734)"
"100700900054705007130","C. d'Antoni de Capmany, 65","2552","FAB. JABONES TOCADOR Y PTOS. PERFUMERIA","41.5427832984734","2.45391226403721","POINT (2.45391226403721 41.5427832984734)"
"100700900053972307130","AV. d'Amxrica, 32","731","ABOGADOS","41.5474623428037","2.44625826023328","POINT (2.44625826023328 41.5474623428037)"
"100700900053972307130","AV. d'Amxrica, 32","6199","COM.MAY.OTROS PRODUCTOS NCOP","41.5474623428037","2.44625826023328","POINT (2.44625826023328 41.5474623428037)"
"100700900054683107130","C. d'Antoni de Capmany, 37","4354","FAB. PRENDAS EXTERIORES DE PUNTO","41.5423434829269","2.45264167693962","POINT (2.45264167693962 41.5423434829269)"
"100700900054438007130","C. Ample, 36","6732","OTROS CAFES Y BARES","41.5431088795215","2.4239730237361","POINT (2.4239730237361 41.5431088795215)"
"100700900054184607130","AV. d'Amxrica, 107","6191","COM.MAY. JUGUETES Y ARTICULOS DEPORTE","41.5470048460738","2.45315446939968","POINT (2.45315446939968 41.5470048460738)"
"100700900054697207130","C. d'Antoni de Capmany, 47","8612","ALQUILER LOCALES INDUSTRIALES","41.5425491727161","2.45323447517531","POINT (2.45323447517531 41.5425491727161)"
"100700900053924507130","AV. d'Amxrica, 15","6732","OTROS CAFES Y BARES","41.5477119018927","2.44592494148138","POINT (2.44592494148138 41.5477119018927)"
"100700900054657107130","C. d'Antoni de Capmany, 10","6912","REPARACION AUTOMOVILES Y BICICLETAS","41.5416758826968","2.45094016643575","POINT (2.45094016643575 41.5416758826968)"
"100700900053924507130","AV. d'Amxrica, 15","871","EXPENDEDORES OFICIALES LOTERIAS","41.5477119018927","2.44592494148138","POINT (2.44592494148138 41.5477119018927)"
"100700900054165907130","AV. d'Amxrica, 92","6511","COM.MEN.PTOS.TEXTILES PARA EL HOGAR","41.5472174471021","2.44947252893489","POINT (2.44947252893489 41.5472174471021)"
"100700900054134207130","AV. d'Amxrica, 73","6126","COM.MAY.BEBIDAS Y TABACO","41.5472163661707","2.45164959484639","POINT (2.45164959484639 41.5472163661707)"
"100700900054608607130","RONDA d'Antoni Comas i Pujol , 20","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.5394619373626","2.43256569420651","POINT (2.43256569420651 41.5394619373626)"
"100700900054660007130","C. d'Antoni de Capmany, 13","9339","OTROS ACTIV. ENSExANZA","41.5419184425181","2.45140562136074","POINT (2.45140562136074 41.5419184425181)"
"100700900054100207130","AV. d'Amxrica, 52","6422","COM.MEN.CARNICERIAS-CHARCUTERIAS","41.5474294032132","2.44717157836483","POINT (2.44717157836483 41.5474294032132)"
"100700900054098507130","AV. d'Amxrica, 49","6595","COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA","41.5474141988728","2.45009359376299","POINT (2.45009359376299 41.5474141988728)"
"100700900054621307130","RONDA d'Antoni Comas i Pujol , 22","453","CONFECC. TODA CLASE PRENDAS VESTIR","41.5395372625259","2.43255713229302","POINT (2.43255713229302 41.5395372625259)"
"100700900054100207130","AV. d'Amxrica, 52","9722","SALONES E INSTITUTOS DE BELLEZA","41.5474294032132","2.44717157836483","POINT (2.44717157836483 41.5474294032132)"
"100700900054597007130","RONDA d'Antoni Comas i Pujol , 13","9711","TINTE,LIMP. SECO, LAVADO Y PLANCHADO","41.5389265391221","2.43244930086618","POINT (2.43244930086618 41.5389265391221)"
"100700900054597707130","RONDA d'Antoni Comas i Pujol , 16","6593","COM.MEN.APARATOS MEDICOS, ORTOPEDICOS","41.5389695194377","2.43262737891013","POINT (2.43262737891013 41.5389695194377)"
"100700900066266907130","C. de Jeroni Pujades, 7","6732","OTROS CAFES Y BARES","41.5390675485813","2.43273801879001","POINT (2.43273801879001 41.5390675485813)"
"100700900054099307130","AV. d'Amxrica, 51","6461","COM.MEN.TABACOS EN EXPENDIDURIA","41.5473831880445","2.45038911522017","POINT (2.45038911522017 41.5473831880445)"
"100700900053392207130","RONDA d'Alfons X el Savi, 10","6471","COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS","41.5450243242392","2.44335311666385","POINT (2.44335311666385 41.5450243242392)"
"100700900053231707130","RONDA d'Alfons XII, 3","8322","SERV. TASACION Y TARIFICACION SEGUROS","41.534201779189","2.44016735065124","POINT (2.44016735065124 41.534201779189)"
