NOM,ADRECA,CATEGORIA,TIPUS,WKT,LAT,LNG
"Fundació Tecnocampus Mataró-Maresme","Avinguda d'Ernest Lluch, 32. 08302 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Centrals, Ocupació i Promoció Econòmica","POINT (2.43468298017362 41.5283283221368)","41,5283283221368","2,43468298017362"
"Jutjat de primera instància núm. 2","Plaça de Francisco Tomás y Valiente, 1. 08302 Mataró (BARCELONA)","Administració de l'Estat","Jutjats","POINT (2.43955782513172 41.5327786609702)","41,5327786609702","2,43955782513172"
"Jutjat de primera instància núm. 3","Plaça de Francisco Tomás y Valiente, 1. 08302 Mataró (BARCELONA)","Administració de l'Estat","Jutjats","POINT (2.43955782513172 41.5327786609702)","41,5327786609702","2,43955782513172"
"Jutjat de primera instància núm. 4","Plaça de Francisco Tomás y Valiente, 1. 08302 Mataró (BARCELONA)","Administració de l'Estat","Jutjats","POINT (2.43955782513172 41.5327786609702)","41,5327786609702","2,43955782513172"
"Cambra de la Propietat Urbana de Mataró i del Maresme","La Riera, 161. 08302 Mataró (BARCELONA)","Altres serveis","Cambra de la Propietat","POINT (2.44264458441197 41.5435050772184)","41,5435050772184","2,44264458441197"
"Eurecat - Centre Tecnològic de Catalunya","Avinguda d'Ernest Lluch, 36. 08302 Mataró (BARCELONA)","Altres serveis","Centres Tecnològics","POINT (2.43495864408666 41.5281931330643)","41,5281931330643","2,43495864408666"
"Centre Tecnològic del Tèxtil (CETEX)","Carrer dels Germans Thos i Codina, 9. 08302 Mataró (BARCELONA)","Organismes externs","Centres Tecnològics","POINT (2.44301863768319 41.5335425129888)","41,5335425129888","2,44301863768319"
"Museu Arxiu de Santa Maria","Carrer de la Beata Maria, 3. 08301 Mataró (BARCELONA)","Cultura i Oci","Museus","POINT (2.44681355381292 41.5406379411983)","41,5406379411983","2,44681355381292"
"Clos arqueològic de Torre Llauder","Carrer de Javier Castaños, 175. Mataró (BARCELONA)","Cultura i Oci","Museus","POINT (2.43404065401684 41.5315834934551)","41,5315834934551","2,43404065401684"
"Clap. Sala de concerts","Carrer de Manuel Serra i Moret, 4. 08302 Mataró (BARCELONA)","Cultura i Oci","Sales de concerts i espectacles","POINT (2.43162868818281 41.5335723178746)","41,5335723178746","2,43162868818281"
"Casal Municipal de la Gent Gran de la Llàntia","Carrer Nou de La Mercè, 60. 08303 Mataró (BARCELONA)","Casals","Casals per a la gent gran","POINT (2.4283514671966 41.5464555065839)","41,5464555065839","2,4283514671966"
"Casal Municipal de la Gent Gran de Molins","Carrer de la Mare de Déu dels Àngels, 16. 08304 Mataró (BARCELONA)","Casals","Casals per a la gent gran","POINT (2.4423306843322 41.5500765761548)","41,5500765761548","2,4423306843322"
"Casal Municipal de la Gent Gran de Santes- Escorxador","Carrer de Floridablanca, 118. 08301 Mataró (BARCELONA)","Casals","Casals per a la gent gran","POINT (2.45080174714176 41.5446608525904)","41,5446608525904","2,45080174714176"
"Pista Poliesportiva Municipal de Casal de Joves","Plaça d'Espanya, 1. 08304 Mataró (BARCELONA)","Esports","Pistes i Poliesportius","POINT (2.44259982930665 41.5450167965494)","41,5450167965494","2,44259982930665"
"Pistes Municipals de Petanca Rocafonda","Ronda de Rafael Estrany, 24. 08304 Mataró (BARCELONA)","Esports","Pistes de petanca","POINT (2.45034268946787 41.5511311360533)","41,5511311360533","2,45034268946787"
