ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Càrrega i Descàrrega","30,61054","26,91113","10,55564","2,89992","41,535842291221","2,42540768496115","POLYGON ((2.4253575097673 41.5358105249734, 2.42547241730527 41.5358503380925, 2.42545786020416 41.5358740574467, 2.42534295263346 41.535834244313, 2.4253575097673 41.5358105249734))"
"Càrrega i Descàrrega","53,83968","49,6672","22,43365","2,39995","41,536241485653","2,42561897851921","POLYGON ((2.42569103941468 41.5361555064189, 2.42557275484516 41.5363369726645, 2.4255469174321 41.5363274648392, 2.42566520205592 41.5361459986203, 2.42569103941468 41.5361555064189))"
"Càrrega i Descàrrega","53,23435","40,9973","17,44754","3,05111","41,5359038313103","2,4315165723853","POLYGON ((2.43146559502616 41.5359738014835, 2.43153292103022 41.5358250148895, 2.43156754963396 41.5358338611129, 2.43150022369963 41.5359826477275, 2.43146559502616 41.5359738014835))"
"Càrrega i Descàrrega","30,40962","30,14154","12,67079","2,39998","41,5377096106752","2,43288557266646","POLYGON ((2.43292413312435 41.5376592753215, 2.43287418274386 41.537767054593, 2.43284701214847 41.5377599460151, 2.43289696256833 41.5376521667554, 2.43292413312435 41.5376592753215))"
"Càrrega i Descàrrega","48,41702","45,05273","20,11995","2,40642","41,5357210875148","2,43102073721236","POLYGON ((2.43112929999681 41.5357620018791, 2.43090239482868 41.5357005642088, 2.4309121745656 41.5356801730485, 2.43113907967214 41.5357416106993, 2.43112929999681 41.5357620018791))"
"Càrrega i Descàrrega","60,53934","48,88732","21,647","2,79666","41,5354943527208","2,43140478859192","POLYGON ((2.43134845610049 41.535583071279, 2.43142926293109 41.5353977900086, 2.43146112092832 41.5354056341326, 2.43138031417838 41.5355909154257, 2.43134845610049 41.535583071279))"
"Càrrega i Descàrrega","40,92402","33,84608","2,92317","13,99987","41,5391796490407","2,43344905093424","POLYGON ((2.43351409054639 41.539221608092, 2.43348630912645 41.539237656306, 2.43338401140632 41.5391376899529, 2.43341179280822 41.5391216417631, 2.43351409054639 41.539221608092))"
"Càrrega i Descàrrega","31,13514","29,96206","12,48778","2,49325","41,5376480235639","2,43204878496698","POLYGON ((2.43201504489298 41.5375965817129, 2.43210622953336 41.5376857867757, 2.43208252509407 41.5376994654048, 2.43199134046746 41.5376102603234, 2.43201504489298 41.5375965817129))"
"Càrrega i Descàrrega","53,09667","40,90804","17,40302","3,051","41,5349360970613","2,43069905639173","POLYGON ((2.43075099858774 41.53486675563, 2.43068160499836 41.5350145795368, 2.43064711408419 41.5350054384676, 2.43071650774187 41.5348576145818, 2.43075099858774 41.53486675563))"
"Càrrega i Descàrrega","29,81972","29,65001","12,42503","2,39997","41,5383955609914","2,43106564044991","POLYGON ((2.43099740427734 41.5384204507356, 2.43111663084247 41.538353368403, 2.43113387657049 41.5383706712063, 2.43101464999101 41.5384377535565, 2.43099740427734 41.5384204507356))"
