ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Zona blava","46,59275","43,77333","19,49691","2,38975","41,536521399673","2,44154025188793","POLYGON ((2.44163119756131 41.5364652186255, 2.44147005678852 41.536592420869, 2.4414493060574 41.5365775806469, 2.44161044683336 41.5364503784322, 2.44163119756131 41.5364652186255))"
"Zona blava","17,28183","19,05104","7,08699","2,43853","41,5375403624215","2,44021490723853","POLYGON ((2.44017506231435 41.5375559521965, 2.44023354873674 41.5375096522672, 2.4402547521437 41.5375247726324, 2.44019626572258 41.5375710725724, 2.44017506231435 41.5375559521965))"
"Zona blava","104,36163","86,01981","40,42852","2,58139","41,5372486275431","2,44062250210838","POLYGON ((2.44044511003614 41.5373732116023, 2.44077736434245 41.5371081035856, 2.44079989349999 41.5371240432035, 2.44046763920267 41.5373891512845, 2.44044511003614 41.5373732116023))"
"Zona blava","33,35737","33,60356","14,50151","2,30027","41,5374164378079","2,44155595174214","POLYGON ((2.44149258633815 41.537462327625, 2.44159730595185 41.537358067379, 2.44161931705657 41.5373705479549, 2.44151459745765 41.5374748082209, 2.44149258633815 41.537462327625))"
"Zona blava","101,11262","87,35492","41,22474","2,45272","41,5379366906772","2,44160437259847","POLYGON ((2.44144055591322 41.5380761249585, 2.44174502818305 41.5377836456378, 2.44176818857939 41.5377972561547, 2.44146371634871 41.5380897355365, 2.44144055591322 41.5380761249585))"
"Zona blava","49,26973","45,41247","20,27632","2,42991","41,534146022973","2,44378229682999","POLYGON ((2.44386322930123 41.5342150180737, 2.44368195956545 41.5340933504698, 2.44370136453061 41.5340770278155, 2.44388263425785 41.5341986953891, 2.44386322930123 41.5342150180737))"
"Zona blava","75,48527","65,38146","30,19043","2,5003","41,5335453973252","2,44379578716933","POLYGON ((2.44391140651971 41.533440202847, 2.44370477352206 41.5336634502414, 2.44368016744362 41.533650591683, 2.44388680048399 41.5334273443325, 2.44391140651971 41.533440202847))"
"Zona blava","13,49977","15,79986","5,39995","2,49998","41,5336903615173","2,44377364833536","POLYGON ((2.44374286732157 41.5337038984274, 2.4437798264342 41.5336639677343, 2.44380442933637 41.5336768245987, 2.44376747023139 41.5337167552996, 2.44374286732157 41.5337038984274))"
"Zona blava","61,07556","55,52988","25,35624","2,4087","41,5341800215105","2,44319168675027","POLYGON ((2.4432913069105 41.534093102635, 2.44311562911785 41.5342794797621, 2.44309206632297 41.5342669402968, 2.44326774414856 41.5340805632055, 2.4432913069105 41.534093102635))"
"Zona blava","36,6149","35,23886","15,21254","2,40689","41,5344581554689","2,44292950450174","POLYGON ((2.4429939767141 41.534408511952, 2.44288857729891 41.5345203290542, 2.44286503219075 41.5345077989487, 2.44297043162567 41.5343959818679, 2.4429939767141 41.534408511952))"
"Zona blava","107,03773","86,27846","40,49607","2,64316","41,5343086180562","2,44319365673916","POLYGON ((2.44303945436385 41.5344499630281, 2.44332209829319 41.5341534112885, 2.44334785844195 41.5341672728697, 2.44306521456855 41.5344638246722, 2.44303945436385 41.5344499630281))"
"Zona blava","112,45194","86,20632","40,31374","2,78942","41,534098121657","2,4438009492889","POLYGON ((2.44363133981331 41.5339682031183, 2.44399275659081 41.5342092496229, 2.44397055944316 41.5342280399468, 2.44360914264501 41.533986993373, 2.44363133981331 41.5339682031183))"
"Zona blava","100,61375","85,39444","40,19402","2,5032","41,5354182763613","2,44293683622482","POLYGON ((2.4427604342584 41.5355420764038, 2.44309143123102 41.5352789874102, 2.44311323751871 41.5352944760416, 2.44278224055411 41.5355575650972, 2.4427604342584 41.5355420764038))"
"Zona blava","153,97182","132,66505","63,92385","2,40868","41,5348411923239","2,44256846544505","POLYGON ((2.44280169331778 41.5346125309297, 2.44235879872275 41.5350823926236, 2.44233523592579 41.5350698532258, 2.44277813060383 41.5345999916221, 2.44280169331778 41.5346125309297))"
"Zona blava","70,41495","58,02633","26,33984","2,67332","41,5351639220668","2,44238601914275","POLYGON ((2.44248864471766 41.5350729798486, 2.44230980392326 41.5352685025763, 2.44228339327998 41.5352548641901, 2.44246223411543 41.5350593415033, 2.44248864471766 41.5350729798486))"
"Zona blava","88,49843","75,79928","35,39966","2,49998","41,5350875379712","2,44335320474727","POLYGON ((2.44319654415773 41.535195645689, 2.44348808874803 41.5349639597172, 2.44350986481542 41.5349794300349, 2.44321832023214 41.5352111160613, 2.44319654415773 41.535195645689))"
"Zona blava","2,5076","7,00605","2,49998","1,00305","41,534482120367","2,44302963056789","POLYGON ((2.44302076172429 41.5344719832905, 2.443045364779 41.5344848403163, 2.44303849941426 41.5344922574427, 2.44301389635813 41.5344794004157, 2.44302076172429 41.5344719832905))"
"Zona blava","40,15758","36,12477","15,46585","2,59653","41,5348031878063","2,4437110175831","POLYGON ((2.44378577456851 41.5347603750533, 2.44365896687533 41.5348619970224, 2.44363626049937 41.5348460005097, 2.44376306819629 41.5347443785655, 2.44378577456851 41.5347603750533))"
"Zona blava","37,9716","35,37551","15,18758","2,50017","41,5332885411641","2,44403488107469","POLYGON ((2.44409915732387 41.5332388165804, 2.44399520946135 41.5333511235351, 2.44397060472701 41.5333382657107, 2.44407455261103 41.5332259587781, 2.44409915732387 41.5332388165804))"
