ZONA,CODIINE,DISTRICTE,SECCIO,ILLA,LAT,LNG,WKT
"Illes","6-9-62","6","9","62","41,524900359331","2,42978690966917","POINT (2.42978690966917 41.524900359331)"
"Illes","6-9-48","6","9","48","41,527859108085","2,43468361817074","POINT (2.43468361817074 41.527859108085)"
"Illes","4-5-30","4","5","30","41,5467523291673","2,4280465950344","POINT (2.4280465950344 41.5467523291673)"
"Illes","4-5-31","4","5","31","41,5471880471124","2,42809228230425","POINT (2.42809228230425 41.5471880471124)"
"Illes","2-7-05","2","7","05","41,5445044164117","2,44812714965034","POINT (2.44812714965034 41.5445044164117)"
"Illes","1-2-11","1","2","11","41,5360962357671","2,44770383414957","POINT (2.44770383414957 41.5360962357671)"
"Illes","4-9-12","4","9","12","41,5460508847112","2,43498928607665","POINT (2.43498928607665 41.5460508847112)"
"Illes","4-9-11","4","9","11","41,5474449213553","2,43796750200755","POINT (2.43796750200755 41.5474449213553)"
"Illes","4-9-10","4","9","10","41,5482789663759","2,43788453671741","POINT (2.43788453671741 41.5482789663759)"
"Illes","1-1-12","1","1","12","41,5374661955374","2,44095106570353","POINT (2.44095106570353 41.5374661955374)"
"Illes","2-11-13","2","11","13","41,5434764905718","2,45193598979164","POINT (2.45193598979164 41.5434764905718)"
"Illes","2-4-14","2","4","14","41,5463564163442","2,45099221404934","POINT (2.45099221404934 41.5463564163442)"
"Illes","2-4-16","2","4","16","41,5462693044569","2,45063130361705","POINT (2.45063130361705 41.5462693044569)"
"Illes","2-4-15","2","4","15","41,546381104294","2,45066996648647","POINT (2.45066996648647 41.546381104294)"
"Illes","2-4-13","2","4","13","41,5464909143601","2,45073442402795","POINT (2.45073442402795 41.5464909143601)"
"Illes","2-4-12","2","4","12","41,5465096944214","2,45042460919107","POINT (2.45042460919107 41.5465096944214)"
"Illes","2-4-17","2","4","17","41,5459626254712","2,45038346817255","POINT (2.45038346817255 41.5459626254712)"
"Illes","2-4-06","2","4","06","41,5458677685586","2,451967127112","POINT (2.451967127112 41.5458677685586)"
"Illes","2-4-09","2","4","09","41,5464639799326","2,45133476771994","POINT (2.45133476771994 41.5464639799326)"
"Illes","2-4-11","2","4","11","41,5467562295135","2,45076923251833","POINT (2.45076923251833 41.5467562295135)"
"Illes","2-4-10","2","4","10","41,546833401003","2,45103100397524","POINT (2.45103100397524 41.546833401003)"
"Illes","2-4-08","2","4","08","41,5469195199187","2,45134521005715","POINT (2.45134521005715 41.5469195199187)"
"Illes","2-4-05","2","4","05","41,5468220194544","2,45194996609502","POINT (2.45194996609502 41.5468220194544)"
"Illes","2-4-07","2","4","07","41,5467562800201","2,45256663665205","POINT (2.45256663665205 41.5467562800201)"
"Illes","5-16-09","5","16","09","41,5415724922283","2,42409025030172","POINT (2.42409025030172 41.5415724922283)"
"Illes","5-4-15","5","4","15","41,5439658807165","2,42434232613005","POINT (2.42434232613005 41.5439658807165)"
"Illes","6-9-55","6","9","55","41,5264987400204","2,43363876582447","POINT (2.43363876582447 41.5264987400204)"
"Illes","6-9-58","6","9","58","41,5274895987872","2,43353818605333","POINT (2.43353818605333 41.5274895987872)"
"Illes","6-9-59","6","9","59","41,5271410422166","2,43302582314992","POINT (2.43302582314992 41.5271410422166)"
"Illes","6-9-60","6","9","60","41,5267145405193","2,4324964541496","POINT (2.4324964541496 41.5267145405193)"
"Illes","6-9-56","6","9","56","41,5254729286349","2,43200392234187","POINT (2.43200392234187 41.5254729286349)"
"Illes","6-9-61","6","9","61","41,5260143669544","2,43143671577305","POINT (2.43143671577305 41.5260143669544)"
"Illes","6-9-57","6","9","57","41,5244132941947","2,43031671739471","POINT (2.43031671739471 41.5244132941947)"
"Illes","4-9-02","4","9","02","41,5457351679461","2,43608814898706","POINT (2.43608814898706 41.5457351679461)"
