CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"2-7-05","173","88","85","17","24","16","6","45","37","6","12","4","6","7","41.5445044164117","2.44812714965034","POINT (2.44812714965034 41.5445044164117)"
"1-2-11","372","197","175","32","23","21","24","62","57","53","45","29","26","13","41.5360962357671","2.44770383414957","POINT (2.44770383414957 41.5360962357671)"
"4-9-11","320","162","158","26","22","19","22","42","48","48","43","27","23","10","41.5474449213553","2.43796750200755","POINT (2.43796750200755 41.5474449213553)"
"4-9-10","259","141","118","26","31","16","7","50","44","26","24","23","12","19","41.5482789663759","2.43788453671741","POINT (2.43788453671741 41.5482789663759)"
"2-4-14","122","64","58","19","12","12","7","17","25","9","10","7","4","2","41.5463564163442","2.45099221404934","POINT (2.45099221404934 41.5463564163442)"
"2-4-16","83","46","37","13","9","7","5","14","15","8","6","4","2","3","41.5462693044569","2.45063130361705","POINT (2.45063130361705 41.5462693044569)"
"2-4-13","68","33","35","8","5","5","0","13","20","2","6","5","4","11","41.5464909143601","2.45073442402795","POINT (2.45073442402795 41.5464909143601)"
"2-4-12","36","20","16","6","5","4","0","5","7","2","1","3","3","","41.5465096944214","2.45042460919107","POINT (2.45042460919107 41.5465096944214)"
"2-4-17","472","219","253","24","39","30","37","76","84","57","65","32","28","14","41.5459626254712","2.45038346817255","POINT (2.45038346817255 41.5459626254712)"
"2-4-06","256","129","127","20","13","16","20","28","37","51","42","14","15","12","41.5458677685586","2.451967127112","POINT (2.451967127112 41.5458677685586)"
"2-4-09","366","170","196","48","55","21","28","63","77","30","33","8","3","17","41.5464639799326","2.45133476771994","POINT (2.45133476771994 41.5464639799326)"
"2-4-11","139","67","72","11","13","9","10","19","27","20","16","8","6","6","41.5467562295135","2.45076923251833","POINT (2.45076923251833 41.5467562295135)"
"2-4-10","118","48","70","11","18","5","8","14","29","11","12","7","3","5","41.546833401003","2.45103100397524","POINT (2.45103100397524 41.546833401003)"
"2-4-08","53","26","27","6","4","2","6","8","8","5","7","5","2","1","41.5469195199187","2.45134521005715","POINT (2.45134521005715 41.5469195199187)"
"2-4-05","344","151","193","34","45","30","34","40","70","29","32","18","12","20","41.5468220194544","2.45194996609502","POINT (2.45194996609502 41.5468220194544)"
"2-4-07","54","26","28","7","9","3","3","8","8","3","4","5","4","4","41.5467562800201","2.45256663665205","POINT (2.45256663665205 41.5467562800201)"
"5-16-09","183","89","94","18","15","15","13","35","45","17","14","4","7","11","41.5415724922283","2.42409025030172","POINT (2.42409025030172 41.5415724922283)"
"5-4-15","43","22","21","8","5","2","0","8","12","1","1","3","3","1","41.5439658807165","2.42434232613005","POINT (2.42434232613005 41.5439658807165)"
"6-9-55","129","59","70","8","14","9","4","23","29","13","18","6","5","","41.5264987400204","2.43363876582447","POINT (2.43363876582447 41.5264987400204)"
"6-9-58","38","23","15","0","0","0","0","0","1","0","2","23","12","","41.5274895987872","2.43353818605333","POINT (2.43353818605333 41.5274895987872)"
"6-9-56","55","24","31","4","5","3","5","12","18","5","3","0","0","","41.5254729286349","2.43200392234187","POINT (2.43200392234187 41.5254729286349)"
"6-9-57","143","75","68","16","14","9","11","47","42","2","1","1","0","6","41.5244132941947","2.43031671739471","POINT (2.43031671739471 41.5244132941947)"
"4-9-02","267","127","140","27","49","10","6","61","56","19","18","10","11","8","41.5457351679461","2.43608814898706","POINT (2.43608814898706 41.5457351679461)"
"4-8-03","280","138","142","36","47","7","11","66","56","22","21","7","7","13","41.545160151144","2.43537205847329","POINT (2.43537205847329 41.545160151144)"
"4-8-04","486","238","248","68","77","14","21","102","97","39","38","15","15","18","41.5446102071015","2.4361593198698","POINT (2.4361593198698 41.5446102071015)"
"4-8-01","471","241","230","57","53","19","25","99","88","42","42","24","22","15","41.5440114139624","2.4354334240744","POINT (2.4354334240744 41.5440114139624)"
"2-7-12","344","169","175","42","51","10","5","82","73","27","38","8","8","6","41.544791402267","2.4513081138967","POINT (2.4513081138967 41.544791402267)"
"3-10-04","25","13","12","0","0","0","1","2","0","7","5","4","6","8","41.547285957521","2.44339635474235","POINT (2.44339635474235 41.547285957521)"
"3-12-09","50","25","25","8","9","0","1","12","12","4","3","1","0","1","41.5572177152514","2.45232526028849","POINT (2.45232526028849 41.5572177152514)"
"3-12-10","163","84","79","33","21","3","9","39","37","8","11","1","1","2","41.5581606010579","2.45317793717464","POINT (2.45317793717464 41.5581606010579)"
