ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","INT","Interior","41,5577556238801","2,45166297565494","POINT (2.45166297565494 41.5577556238801)"
"Usos Sòl","INT","Interior","41,5572176941831","2,45232531630254","POINT (2.45232531630254 41.5572176941831)"
"Usos Sòl","INT","Interior","41,5581605884539","2,45317799811809","POINT (2.45317799811809 41.5581605884539)"
"Usos Sòl","INT","Interior","41,5587748005654","2,45202299255152","POINT (2.45202299255152 41.5587748005654)"
"Usos Sòl","INT","Interior","41,5593167542902","2,44998724900262","POINT (2.44998724900262 41.5593167542902)"
"Usos Sòl","ZV","Zona Verda","41,5575544154933","2,45488741689422","POINT (2.45488741689422 41.5575544154933)"
"Usos Sòl","INT","Interior","41,5430825626022","2,4598653854016","POINT (2.4598653854016 41.5430825626022)"
"Usos Sòl","EQES","Equipament Esportiu","41,5443927267429","2,46191006492819","POINT (2.46191006492819 41.5443927267429)"
"Usos Sòl","EQ","Equipament","41,544029170834","2,46126938971013","POINT (2.46126938971013 41.544029170834)"
"Usos Sòl","ZV","Zona Verda","41,525842295961","2,42677575584707","POINT (2.42677575584707 41.525842295961)"
"Usos Sòl","ZV","Zona Verda","41,5259465859037","2,42698504622762","POINT (2.42698504622762 41.5259465859037)"
"Usos Sòl","TR","Transit Reduït","41,5381657926888","2,43363062378022","POINT (2.43363062378022 41.5381657926888)"
"Usos Sòl","ZV","Zona Verda","41,5392515183481","2,43388737335465","POINT (2.43388737335465 41.5392515183481)"
"Usos Sòl","INT","Interior","41,5550831336801","2,43427576535793","POINT (2.43427576535793 41.5550831336801)"
"Usos Sòl","ZV","Zona Verda","41,5567506683702","2,4352235102124","POINT (2.4352235102124 41.5567506683702)"
"Usos Sòl","ZVP","Zona Verda en Projecte","41,5541724858572","2,43490299532511","POINT (2.43490299532511 41.5541724858572)"
"Usos Sòl","EQ","Equipament","41,5549584161468","2,43859410120456","POINT (2.43859410120456 41.5549584161468)"
"Usos Sòl","ZVP","Zona Verda en Projecte","41,5552099057264","2,44286550689778","POINT (2.44286550689778 41.5552099057264)"
"Usos Sòl","INT","Interior","41,5574510196438","2,4500478631713","POINT (2.4500478631713 41.5574510196438)"
"Usos Sòl","ZV","Zona Verda","41,5499612741484","2,45398095232768","POINT (2.45398095232768 41.5499612741484)"
"Usos Sòl","ZV","Zona Verda","41,5515236638619","2,45566274610627","POINT (2.45566274610627 41.5515236638619)"
"Usos Sòl","ZV","Zona Verda","41,5533005453597","2,45704484951132","POINT (2.45704484951132 41.5533005453597)"
"Usos Sòl","ZV","Zona Verda","41,5541374584209","2,45727033209776","POINT (2.45727033209776 41.5541374584209)"
"Usos Sòl","ZV","Zona Verda","41,5540312462982","2,45773497661733","POINT (2.45773497661733 41.5540312462982)"
"Usos Sòl","ZV","Zona Verda","41,5543487665961","2,45687563532811","POINT (2.45687563532811 41.5543487665961)"
"Usos Sòl","ZV","Zona Verda","41,5550463140116","2,45755435044597","POINT (2.45755435044597 41.5550463140116)"
"Usos Sòl","INT","Interior","41,555320006382","2,45848297788119","POINT (2.45848297788119 41.555320006382)"
"Usos Sòl","INT","Interior","41,5537773905889","2,45948907744209","POINT (2.45948907744209 41.5537773905889)"
"Usos Sòl","INT","Interior","41,5531303544373","2,460174457449","POINT (2.460174457449 41.5531303544373)"
"Usos Sòl","INT","Interior","41,5527000219828","2,46160273143458","POINT (2.46160273143458 41.5527000219828)"
"Usos Sòl","INT","Interior","41,553593162024","2,46083262673211","POINT (2.46083262673211 41.553593162024)"
"Usos Sòl","INT","Interior","41,5540290752556","2,46138968339347","POINT (2.46138968339347 41.5540290752556)"
"Usos Sòl","INT","Interior","41,553422632744","2,45104551217453","POINT (2.45104551217453 41.553422632744)"
"Usos Sòl","INT","Interior","41,5538463407727","2,45232394644091","POINT (2.45232394644091 41.5538463407727)"
"Usos Sòl","INT","Interior","41,5525920346236","2,45401582853396","POINT (2.45401582853396 41.5525920346236)"
"Usos Sòl","INT","Interior","41,5515078322776","2,45377852817194","POINT (2.45377852817194 41.5515078322776)"
"Usos Sòl","INT","Interior","41,5508080645855","2,45307705535324","POINT (2.45307705535324 41.5508080645855)"
"Usos Sòl","ZV","Zona Verda","41,5537060118737","2,45147984774969","POINT (2.45147984774969 41.5537060118737)"
"Usos Sòl","ZV","Zona Verda","41,5526680806723","2,45185423694182","POINT (2.45185423694182 41.5526680806723)"
"Usos Sòl","ZV","Zona Verda","41,5532384226655","2,45189276963541","POINT (2.45189276963541 41.5532384226655)"
"Usos Sòl","EQP","Equipament en Projecte","41,5448585590718","2,42771253009652","POINT (2.42771253009652 41.5448585590718)"
"Usos Sòl","INT","Interior","41,5450654183632","2,42636640599022","POINT (2.42636640599022 41.5450654183632)"
"Usos Sòl","INT","Interior","41,5452841533524","2,42526149591752","POINT (2.42526149591752 41.5452841533524)"
"Usos Sòl","INT","Interior","41,5465768536132","2,42605923978482","POINT (2.42605923978482 41.5465768536132)"
"Usos Sòl","ZV","Zona Verda","41,5472727332708","2,42648787263333","POINT (2.42648787263333 41.5472727332708)"
"Usos Sòl","ZV","Zona Verda","41,5469535050468","2,42494985165452","POINT (2.42494985165452 41.5469535050468)"
"Usos Sòl","ZVP","Zona Verda en Projecte","41,5456525600214","2,42221729938966","POINT (2.42221729938966 41.5456525600214)"
"Usos Sòl","INT","Interior","41,5456174575253","2,42444172011511","POINT (2.42444172011511 41.5456174575253)"
"Usos Sòl","INT","Interior","41,5451452424593","2,42368482441996","POINT (2.42368482441996 41.5451452424593)"
"Usos Sòl","INT","Interior","41,5451825709429","2,42316552369124","POINT (2.42316552369124 41.5451825709429)"
"Usos Sòl","INT","Interior","41,5448487808232","2,42222784081505","POINT (2.42222784081505 41.5448487808232)"
"Usos Sòl","INT","Interior","41,5446517050524","2,42176096026722","POINT (2.42176096026722 41.5446517050524)"
"Usos Sòl","ZVP","Zona Verda en Projecte","41,5388020041082","2,42019643278231","POINT (2.42019643278231 41.5388020041082)"
"Usos Sòl","ZV","Zona Verda","41,551823733243","2,42646880611748","POINT (2.42646880611748 41.551823733243)"
"Usos Sòl","EQ","Equipament","41,5527381301751","2,42640513766443","POINT (2.42640513766443 41.5527381301751)"
"Usos Sòl","EQ","Equipament","41,554452814712","2,42647176549715","POINT (2.42647176549715 41.554452814712)"
"Usos Sòl","EQ","Equipament","41,5545063508443","2,42659962000766","POINT (2.42659962000766 41.5545063508443)"
"Usos Sòl","ESC","Escola","41,5458879765161","2,42662405184888","POINT (2.42662405184888 41.5458879765161)"
"Usos Sòl","ESC","Escola","41,5459399131122","2,42509676967681","POINT (2.42509676967681 41.5459399131122)"
"Usos Sòl","INT","Interior","41,5467791916752","2,42547793063976","POINT (2.42547793063976 41.5467791916752)"
"Usos Sòl","INT","Interior","41,5544047257036","2,46046280556468","POINT (2.46046280556468 41.5544047257036)"
"Usos Sòl","INT","Interior","41,5547326231186","2,45976283755979","POINT (2.45976283755979 41.5547326231186)"
"Usos Sòl","INT","Interior","41,5464768845577","2,42865506857873","POINT (2.42865506857873 41.5464768845577)"
